Algo,Serie,Ex,n_noeuds,n_arcs,temps,nombre_ext_lin
entropy,26-10,g,26,10,2040,229736377148
entropy,26-10,h,26,10,2105,246202393206
entropy,26-10,i,26,10,1957,103866634633
entropy,26-10,j,26,10,2538,1528394247390
entropy,26-4,a,26,4,1426,159956037
entropy,26-4,b,26,4,1610,2498642894
entropy,26-4,c,26,4,1471,228909025
entropy,26-4,d,26,4,1453,57227256
entropy,26-4,e,26,4,1426,54484569
entropy,26-4,f,26,4,1485,217938279
entropy,26-4,g,26,4,1562,336016056
entropy,26-4,h,26,4,1636,1275166007
entropy,26-4,i,26,4,1567,1275166007
entropy,26-4,j,26,4,1613,489086159
entropy,26-6,a,26,6,1777,10429667460
entropy,26-6,b,26,6,1936,27122852087
entropy,26-6,c,26,6,1600,835386072
entropy,26-6,d,26,6,1749,5922709083
entropy,26-6,e,26,6,1724,690824787
entropy,26-6,f,26,6,1702,542599170
entropy,26-6,g,26,6,2028,108491408348
entropy,26-6,h,26,6,1665,3077549027
entropy,26-6,i,26,6,1713,1858022845
entropy,26-6,j,26,6,1878,18486029455
entropy,26-8,a,26,8,2068,260673387513
entropy,26-8,b,26,8,1899,27122852087
entropy,26-8,c,26,8,1973,56156056490
entropy,26-8,d,26,8,1944,42708727810
entropy,26-8,e,26,8,1767,13366177167
entropy,26-8,f,26,8,2595,984809572824
entropy,26-8,g,26,8,1909,56156056490
entropy,26-8,h,26,8,1953,50166616817
entropy,26-8,i,26,8,1891,24230008527
entropy,26-8,j,26,8,2171,27340747468
entropy,30-10,a,30,10,3465,285944642715493
entropy,30-10,b,30,10,3237,780302949036673
entropy,30-10,c,30,10,3546,571889285430988
entropy,30-10,d,30,10,3267,711914062500003
entropy,30-10,e,30,10,3635,380268224649748
entropy,30-10,f,30,10,3891,10628819999999998
entropy,30-10,g,30,10,3035,215738159349659
entropy,30-10,h,30,10,3915,2633522452998775
entropy,30-10,i,30,10,2948,78427912760700
entropy,30-10,j,30,10,2732,24384467157396
entropy,30-4,a,30,4,2207,40184363601
entropy,30-4,b,30,4,1996,6060792185
entropy,30-4,c,30,4,2162,146649777889
entropy,30-4,d,30,4,1851,534538440
entropy,30-4,e,30,4,1899,4829906831
entropy,30-4,f,30,4,2040,920355958
entropy,30-4,g,30,4,1972,667686320
entropy,30-4,h,30,4,1713,509404236
entropy,30-4,i,30,4,2042,7733484380
entropy,30-4,j,30,4,1833,1458764120
entropy,30-6,a,30,6,2717,7508515257509
entropy,30-6,b,30,6,2434,254768852538
entropy,30-6,c,30,6,2536,925051547606
entropy,30-6,d,30,6,2411,384433593750
entropy,30-6,e,30,6,2305,709610685438
entropy,30-6,f,30,6,2193,146649777889
entropy,30-6,g,30,6,2343,925051547606
entropy,30-6,h,30,6,2331,823974609374
entropy,30-6,i,30,6,2269,142934871006
entropy,30-6,j,30,6,2937,451564206618
entropy,30-8,a,30,8,2834,35031511230468
entropy,30-8,b,30,8,2748,5941691010152
entropy,30-8,c,30,8,3229,92951600308978
entropy,30-8,d,30,8,3005,1943235014570
entropy,30-8,e,30,8,3313,823974609374
entropy,30-8,f,30,8,3237,4449490522968
entropy,30-8,g,30,8,2848,12301875000000
entropy,30-8,h,30,8,2686,1886682356015
entropy,30-8,i,30,8,3463,15980604396271
entropy,30-8,j,30,8,2928,9662344629618
