ex,calculated_value,true_value

poset10-4a,
calculated : 1984,
      true : 1984

poset10-4b,
calculated : 716,
      true : 716

poset10-4c,
calculated : 964,
      true : 964

poset10-4d,
calculated : 784,
      true : 784

poset10-4e,
calculated : 1773,
      true : 1773

poset10-4f,
calculated : 4190,
      true : 4190

poset10-4g,
calculated : 1954,
      true : 1954

poset10-4h,
calculated : 224,
      true : 224

poset10-4i,
calculated : 560,
      true : 560

poset10-4j,
calculated : 700,
      true : 700

poset10-6a,
calculated : 25200,
      true : 25200

poset10-6b,
calculated : 97920,
      true : 97920

poset10-6c,
calculated : 38160,
      true : 38160

poset10-6d,
calculated : 30240,
      true : 30240

poset10-6e,
calculated : 75600,
      true : 75600

poset10-6f,
calculated : 37800,
      true : 37800

poset10-6g,
calculated : 16560,
      true : 16560

poset10-6h,
calculated : 95760,
      true : 95760

poset10-6i,
calculated : 29520,
      true : 29520

poset10-6j,
calculated : 73440,
      true : 73440

poset10-8a,
calculated : 332640,
      true : 332640

poset10-8b,
calculated : 241920,
      true : 241920

poset10-8c,
calculated : 544320,
      true : 544320

poset10-8d,
calculated : 453600,
      true : 453600

poset10-8e,
calculated : 453600,
      true : 453600

poset10-8f,
calculated : 403200,
      true : 403200

poset10-8g,
calculated : 483840,
      true : 483840

poset10-8h,
calculated : 453600,
      true : 453600

poset10-8i,
calculated : 302400,
      true : 302400

poset10-8j,
calculated : 332640,
      true : 332640

poset14-10a,
calculated : 2421619200,
      true : 2421619200

poset14-10b,
calculated : 2270268000,
      true : 2270268000

poset14-10c,
calculated : 1452971520,
      true : 1452971520

poset14-10d,
calculated : 1816214400,
      true : 1816214400

poset14-10e,
calculated : 1452971520,
      true : 1452971520

poset14-10f,
calculated : 3995671680,
      true : 3995671680

poset14-10g,
calculated : 1150269120,
      true : 1150269120

poset14-10h,
calculated : 1574052480,
      true : 1574052480

poset14-10i,
calculated : 2421619200,
      true : 2421619200

poset14-10j,
calculated : 2724321600,
      true : 2724321600

poset14-4a,
calculated : 62696,
      true : 62696

poset14-4b,
calculated : 476476,
      true : 476476

poset14-4c,
calculated : 86868,
      true : 86868

poset14-4d,
calculated : 42120,
      true : 42120

poset14-4e,
calculated : 59896,
      true : 59896

poset14-4f,
calculated : 216482,
      true : 216482

poset14-4g,
calculated : 298872,
      true : 298872

poset14-4h,
calculated : 204338,
      true : 204338

poset14-4i,
calculated : 1313295,
      true : 1313295

poset14-4j,
calculated : 624812,
      true : 624812

poset14-6a,
calculated : 4406248,
      true : 4406248

poset14-6b,
calculated : 1595664,
      true : 1595664

poset14-6c,
calculated : 13588848,
      true : 13588848

poset14-6d,
calculated : 14414400,
      true : 14414400

poset14-6e,
calculated : 7316400,
      true : 7316400

poset14-6f,
calculated : 55648320,
      true : 55648320

poset14-6g,
calculated : 50761620,
      true : 50761620

poset14-6h,
calculated : 46546500,
      true : 46546500

poset14-6i,
calculated : 27220788,
      true : 27220788

poset14-6j,
calculated : 7657944,
      true : 7657944

poset14-8a,
calculated : 390810420,
      true : 390810420

poset14-8b,
calculated : 224071848,
      true : 224071848

poset14-8c,
calculated : 126486360,
      true : 126486360

poset14-8d,
calculated : 85044960,
      true : 85044960

poset14-8e,
calculated : 52972920,
      true : 52972920

poset14-8f,
calculated : 14414400,
      true : 14414400

poset14-8g,
calculated : 226017792,
      true : 226017792

poset14-8h,
calculated : 183338064,
      true : 183338064

poset14-8i,
calculated : 320938800,
      true : 320938800

poset14-8j,
calculated : 160095936,
      true : 160095936

poset18-10a,
calculated : 705019593600,
      true : 705019593600

poset18-10b,
calculated : 115867874304,
      true : 115867874304

poset18-10c,
calculated : 478692789120,
      true : 478692789120

poset18-10d,
calculated : 863140320000,
      true : 863140320000

poset18-10e,
calculated : 191681925120,
      true : 191681925120

poset18-10f,
calculated : 908363937600,
      true : 908363937600

poset18-10g,
calculated : 606073196160,
      true : 606073196160

poset18-10h,
calculated : 567668305080,
      true : 567668305080

poset18-10i,
calculated : 359026862400,
      true : 359026862400

poset18-10j,
calculated : 593570648160,
      true : 593570648160

