"n_nodes","n_edges","time"
10,4,886
10,6,4264
10,8,15434
14,10,217596
14,4,2225
14,6,10245
14,8,36694
18,10,381515
18,4,3787
18,6,11660
18,8,80683
22,10,500823
22,4,3704
22,6,17760
22,8,71343
26,10,272032
26,4,5613
26,6,19093
26,8,41276
30,10,1941524
30,4,7028
30,6,18481
30,8,91148
