"n_nodes","n_edges","time"
10,4,1118.7
10,6,5660.2
10,8,18531.7
14,4,3479.1
14,6,20606
14,8,70382.8
14,10,257684.6
18,4,4933.5
18,6,22323.2
18,8,141234.5
18,10,503245.4
22,4,5232.5
22,6,34122
22,8,156825.6
22,10,811068.8
26,4,8433.4
26,6,30661
26,8,78825.3
26,10,555433.2
30,4,8913.7
30,6,30247.1
30,8,171022.7
30,10,3747785.2
