Algo,Serie,Ex,n_noeuds,n_arcs,temps,nombre_ext_lin
dynamic,22-8,c,22,8,176563,3721073044334
dynamic,22-8,d,22,8,71343,21491823780
dynamic,22-8,e,22,8,198559,17387226673672
dynamic,22-8,f,22,8,121254,871553358984
dynamic,22-8,g,22,8,166107,1538149030572
dynamic,22-8,h,22,8,175463,2785367193208
dynamic,22-8,i,22,8,138568,3558491999680
dynamic,22-8,j,22,8,179672,5202436696482
dynamic,26-10,a,26,10,752494,71442927261641000
dynamic,26-10,b,26,10,483101,2656164129178664
dynamic,26-10,c,26,10,394615,400390237438048
dynamic,26-10,d,26,10,485764,915783116676764
dynamic,26-10,e,26,10,763552,1634671262018028
dynamic,26-10,f,26,10,625778,7789705996698080
dynamic,26-10,g,26,10,649102,245092632348362
dynamic,26-10,h,26,10,272032,365756634051168
dynamic,26-10,i,26,10,543173,959068157992468
dynamic,26-10,j,26,10,584721,1307633079593794
dynamic,26-4,a,26,4,8792,5027586016
dynamic,26-4,b,26,4,8399,192937716
dynamic,26-4,c,26,4,7943,1623284724
dynamic,26-4,d,26,4,7521,383117122
dynamic,26-4,e,26,4,5787,7536060
dynamic,26-4,f,26,4,5613,45968140
dynamic,26-4,g,26,4,10878,4727173643
dynamic,26-4,h,26,4,7505,157788704
dynamic,26-4,i,26,4,9243,246024216
dynamic,26-4,j,26,4,12653,17625766189
dynamic,26-6,a,26,6,28953,1468032715653
dynamic,26-6,b,26,6,51308,8516112523355
dynamic,26-6,c,26,6,37821,2436220650681
dynamic,26-6,d,26,6,26597,479895527172
dynamic,26-6,e,26,6,21336,200578522120
dynamic,26-6,f,26,6,44525,5441057538262
dynamic,26-6,g,26,6,34199,618710764924
dynamic,26-6,h,26,6,20864,111143548890
dynamic,26-6,i,26,6,19093,13345674180
dynamic,26-6,j,26,6,21914,174035874090
dynamic,26-8,a,26,8,72825,15601389446800
dynamic,26-8,b,26,8,62968,2195913690336
dynamic,26-8,c,26,8,84049,5079655916452
dynamic,26-8,d,26,8,93958,3792475462250
dynamic,26-8,e,26,8,89306,1903720800162
dynamic,26-8,f,26,8,136656,46825463717440
dynamic,26-8,g,26,8,41276,529771863996
dynamic,26-8,h,26,8,63163,7273276289940
dynamic,26-8,i,26,8,53415,840855352102
dynamic,26-8,j,26,8,90637,38700987528034
dynamic,30-10,a,30,10,3075294,-7854903474614855804
dynamic,30-10,b,30,10,2554973,-4894025990979860776
dynamic,30-10,c,30,10,4276168,-7934746142196590640
dynamic,30-10,d,30,10,2213222,-3606861543157944016
dynamic,30-10,e,30,10,3127094,-5465883422927549254
dynamic,30-10,f,30,10,10224368,5668947660323929909
dynamic,30-10,g,30,10,2528292,-7659464366869756276
dynamic,30-10,h,30,10,3597691,-7539004902339517432
dynamic,30-10,i,30,10,1941524,2294726732784245160
dynamic,30-10,j,30,10,3939226,5516120257808540112
dynamic,30-4,a,30,4,8378,41605488
dynamic,30-4,b,30,4,9485,12012774390
dynamic,30-4,c,30,4,12192,22840199949
dynamic,30-4,d,30,4,7719,1938339394
