algo,series,letter,n_nodes,n_edges,time,number
dynamic,18-10,e,18,10,491,191681925120
entropy,18-10,e,18,10,1,170720495
dynamic,18-10,f,18,10,730,908363937600
entropy,18-10,f,18,10,1,298236431
dynamic,18-10,g,18,10,542,606073196160
entropy,18-10,g,18,10,1,298236431
dynamic,18-10,h,18,10,638,567668305080
entropy,18-10,h,18,10,1,229582512
dynamic,18-10,i,18,10,577,359026862400
entropy,18-10,i,18,10,1,193710244
dynamic,18-10,j,18,10,624,593570648160
entropy,18-10,j,18,10,1,170720495
dynamic,18-4,a,18,4,4,427998
entropy,18-4,a,18,4,0,247949
dynamic,18-4,b,18,4,8,16370420
entropy,18-4,b,18,4,0,244379
dynamic,18-4,c,18,4,5,17471078
entropy,18-4,c,18,4,0,97374
dynamic,18-4,d,18,4,5,3944424
entropy,18-4,d,18,4,1,1955034
dynamic,18-4,e,18,4,5,2571720
entropy,18-4,e,18,4,0,433149
dynamic,18-4,f,18,4,4,3663532
entropy,18-4,f,18,4,0,69945
dynamic,18-4,g,18,4,5,2842662
entropy,18-4,g,18,4,0,121215
dynamic,18-4,h,18,4,5,4705201
entropy,18-4,h,18,4,0,291246
dynamic,18-4,i,18,4,6,17149960
entropy,18-4,i,18,4,0,409103
dynamic,18-4,j,18,4,5,726430
entropy,18-4,j,18,4,0,582493
dynamic,18-6,a,18,6,15,229764012
entropy,18-6,a,18,6,0,1580745
dynamic,18-6,b,18,6,31,312153020
entropy,18-6,b,18,6,1,28697814
dynamic,18-6,c,18,6,58,430848372
entropy,18-6,c,18,6,1,7174453
dynamic,18-6,d,18,6,40,3348322302
entropy,18-6,d,18,6,1,10670030
dynamic,18-6,e,18,6,29,703743660
entropy,18-6,e,18,6,1,5522896
dynamic,18-6,f,18,6,16,164685326
entropy,18-6,f,18,6,1,2125764
dynamic,18-6,g,18,6,26,251090685
entropy,18-6,g,18,6,1,14348907
dynamic,18-6,h,18,6,13,35678604
entropy,18-6,h,18,6,0,1793613
dynamic,18-6,i,18,6,24,1068066576
entropy,18-6,i,18,6,1,12645962
dynamic,18-6,j,18,6,38,1521364158
entropy,18-6,j,18,6,1,3465194
dynamic,18-8,a,18,8,150,24747615360
entropy,18-8,a,18,8,2,21340061
dynamic,18-8,b,18,8,300,234984391488
entropy,18-8,b,18,8,1,57395627
