"n_nodes","n_edges","time"
10,4,1429
10,6,7467
10,8,20729
14,10,349871
14,4,5138
14,6,32979
14,8,99689
18,10,608876
18,4,7012
18,6,33143
18,8,241769
22,10,1144772
22,4,7326
22,6,46882
22,8,198559
26,10,763552
26,4,12653
26,6,51308
26,8,136656
30,10,10224368
30,4,12192
30,6,57693
30,8,415886
