"n_nodes","n_edges","time"
10,4,0
10,6,0
10,8,0
14,10,0
14,4,0
14,6,0
14,8,0
18,10,1
18,4,0
18,6,0
18,8,1
22,10,1
22,4,1
22,6,1
22,8,1
26,10,2
26,4,1
26,6,1
26,8,2
30,10,3
30,4,1
30,6,2
30,8,2
