"n_nodes","n_edges","time"
10,4,0
10,6,0
10,8,0
14,4,0
14,6,0
14,8,0.2
14,10,0.9
18,4,0.1
18,6,0.8
18,8,1.1
18,10,1
22,4,1
22,6,1.3
22,8,1.2
22,10,1.8
26,4,1.1
26,6,1.6
26,8,2
26,10,2
30,4,1.9
30,6,2.2
30,8,2.8
30,10,3.2
